fiscal_period_end,total_equity,total_debt,cash_and_equivalents,revenue,gross_profit,operating_income,ebit,net_income,shares_outstanding,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebit_ttm,net_income_ttm,ticker
2012-07-31,2744000000.0,499000000.0,393000000.0,-1614000000.0,,-32000000.0,-32000000.0,14000000.0,295289000.0,4151000000.0,,1177000000.0,1177000000.0,792000000.0,INTU
2012-10-31,2745000000.0,499000000.0,216000000.0,647000000.0,,-69000000.0,-69000000.0,-19000000.0,296000000.0,4204000000.0,,1202000000.0,1202000000.0,837000000.0,INTU
2013-01-31,2792000000.0,499000000.0,399000000.0,1615000000.0,,24000000.0,24000000.0,52000000.0,296000000.0,4206000000.0,,1128000000.0,1128000000.0,835000000.0,INTU
2013-04-30,3570000000.0,499000000.0,1412000000.0,3793000000.0,,1271000000.0,1271000000.0,874000000.0,296000000.0,4441000000.0,,1194000000.0,1194000000.0,921000000.0,INTU
2013-07-31,3531000000.0,499000000.0,1009000000.0,-1884000000.0,,7000000.0,7000000.0,-49000000.0,299503000.0,4171000000.0,,1233000000.0,1233000000.0,858000000.0,INTU
2013-10-31,2224000000.0,499000000.0,417000000.0,622000000.0,,-77000000.0,-77000000.0,-11000000.0,288000000.0,4146000000.0,,1225000000.0,1225000000.0,866000000.0,INTU
2014-01-31,2235000000.0,499000000.0,625000000.0,1404000000.0,,-123000000.0,-123000000.0,-48000000.0,286000000.0,3935000000.0,,1078000000.0,1078000000.0,766000000.0,INTU
2014-04-30,3238000000.0,499000000.0,1574000000.0,3792000000.0,,1371000000.0,1371000000.0,936000000.0,285000000.0,3934000000.0,,1178000000.0,1178000000.0,828000000.0,INTU
2014-07-31,3078000000.0,499000000.0,849000000.0,-1312000000.0,,143000000.0,143000000.0,30000000.0,284950000.0,4506000000.0,,1314000000.0,1314000000.0,907000000.0,INTU
2014-10-31,2927000000.0,499000000.0,542000000.0,672000000.0,,-114000000.0,-114000000.0,-84000000.0,286000000.0,4556000000.0,,1277000000.0,1277000000.0,834000000.0,INTU
